11	0.6	0.6	0.5	0.3
12.35	0.6	0.6	0.5	0.3
13.35	0.9	0.9	0.5	0.3
14.35	1.2	1.2	0.7	0.4	
15.35	2.15	2.45    1.45    1.9
16.35	3.1	3.7	2.2	3.4
17.35	5.7	7.4	4.8	3.4
18.35	35.7	16	15.6	37.5
19.35	70.4	31.5	74.8	163.3

